#timestamp x y z qx qy qz qw
0.002667 0.000000 0.000000 0.000000 0.000000 0.707107 -0.707107 -0.000000
2499999999.000000 -0.013282 -0.102444 0.004949 -0.002026 0.708077 -0.706099 0.006809
3299999999.000000 -0.018812 -0.204431 0.015648 -0.034558 -0.693806 0.719260 0.010213
3799999999.000000 -0.029701 -0.269669 0.021171 0.015592 -0.689018 0.724273 -0.020943
4099999999.000000 -0.027420 -0.304625 0.023353 0.050466 -0.701384 0.709063 -0.052376
4949999999.000000 0.008222 -0.402590 0.033489 0.085351 -0.688760 0.716368 -0.071705
5099999999.000000 0.026308 -0.409878 0.020504 0.121834 -0.676410 0.717205 -0.115081
5249999999.000000 0.044393 -0.419396 0.019675 0.177041 -0.663019 0.702495 -0.188580
5399999999.000000 0.054720 -0.447686 0.025909 0.226991 -0.659685 0.673340 -0.244754
5599999999.000000 0.080784 -0.477026 0.021690 -0.271818 0.653512 -0.653196 0.269021
5949999999.000000 0.129012 -0.520327 0.025957 0.303846 -0.632202 0.637779 -0.318175
6099999999.000000 0.156798 -0.532182 0.022716 0.329429 -0.605422 0.627698 -0.361851
6299999999.000000 0.191368 -0.548886 0.017369 0.360605 -0.584869 0.611152 -0.392920
6449999999.000000 0.219282 -0.558061 0.019910 0.390501 -0.551965 0.598861 -0.429196
6599999999.000000 0.247305 -0.560437 0.024339 0.410566 -0.526328 0.574933 -0.473145
6849999999.000000 0.294105 -0.553080 0.026665 0.462222 -0.516020 0.520790 -0.498851
7499999999.000000 0.397350 -0.562526 0.049918 -0.471815 0.484376 -0.522910 0.518977
7799999999.000000 0.447339 -0.555944 0.057716 -0.503490 0.452898 -0.505854 0.534316
7949999999.000000 0.468811 -0.538609 0.062915 -0.534588 0.434723 -0.463892 0.556808
8099999999.000000 0.490370 -0.529768 0.062138 -0.577050 0.402271 -0.429352 0.566435
8549999999.000000 0.554645 -0.503331 0.072000 -0.611333 0.369242 -0.396958 0.576504
8749999999.000000 0.576812 -0.491463 0.075877 -0.620807 0.333473 -0.381867 0.597973
8949999999.000000 0.601734 -0.476531 0.076246 -0.638064 0.297607 -0.357982 0.613313
9099999999.000000 0.635462 -0.453312 0.076564 -0.661731 0.258439 -0.318960 0.627364
9199999999.000000 0.650337 -0.438509 0.076619 -0.684126 0.223072 -0.279676 0.635603
9299999999.000000 0.666886 -0.421632 0.072742 -0.714683 0.188456 -0.225729 0.634633
9450000000.000000 0.680482 -0.400196 0.069210 -0.737893 0.154354 -0.175826 0.633067
9700000000.000000 0.699296 -0.354934 0.058973 -0.752643 0.102022 -0.141938 0.634803
10350000000.000000 0.742831 -0.252791 0.063667 -0.729008 0.041712 -0.122085 0.672237
10550000000.000000 0.747042 -0.215994 0.060404 -0.746525 0.008129 -0.086531 0.659657
10750000000.000000 0.747172 -0.177647 0.051244 -0.752165 -0.020523 -0.042538 0.657280
11350000000.000000 0.758703 -0.071951 0.058974 -0.741698 -0.046245 -0.082043 0.664090
11800000000.000000 0.757847 0.004248 0.045809 -0.759963 -0.091753 -0.064418 0.640225
12050000000.000000 0.752699 0.055805 0.032919 -0.771725 -0.109772 -0.021771 0.626033
12700000000.000000 0.732921 0.157334 0.038828 -0.737323 -0.115340 -0.059882 0.662922
12950000000.000000 0.719217 0.203187 0.025964 -0.732914 -0.181148 -0.000037 0.655761
13050000000.000000 0.709770 0.223276 0.019632 -0.711327 -0.232626 0.054450 0.661010
13150000000.000000 0.695652 0.240386 0.014049 -0.695701 -0.271635 0.122471 0.653617
13250000000.000000 0.684131 0.250943 0.009148 -0.689633 -0.316754 0.156489 0.632126
13400000000.000000 0.662786 0.273033 0.003562 -0.665881 -0.363705 0.192755 0.622227
13650000000.000000 0.628828 0.300255 0.001448 -0.639542 -0.413259 0.223128 0.608619
13800000000.000000 0.607068 0.315703 0.001898 -0.604913 -0.425710 0.297847 0.603438
14200000000.000000 0.534108 0.335247 0.005524 -0.575343 -0.442205 0.324023 0.606997
14350000000.000000 0.498815 0.321751 -0.000277 -0.569879 -0.478559 0.331893 0.579712
14500000000.000000 0.456405 0.274510 -0.036902 -0.536469 -0.515249 0.416964 0.522360
14650000000.000000 0.430182 0.269410 -0.039408 0.516177 0.540646 -0.456511 -0.482556
15250000000.000000 0.339177 0.245692 -0.025598 0.482187 0.557034 -0.492372 -0.463442
15500000000.000000 0.291250 0.249582 -0.028197 0.433618 0.587548 -0.505823 -0.459245
15650000000.000000 0.267722 0.251745 -0.021365 0.390298 0.606356 -0.564823 -0.401217
15750000000.000000 0.254290 0.245043 -0.018826 0.362262 0.629722 -0.600168 -0.334686
15900000000.000000 0.231046 0.231112 -0.020596 0.338793 0.650827 -0.616590 -0.285411
16250000000.000000 0.178107 0.194136 -0.015943 0.300515 0.683099 -0.610972 -0.264160
16500000000.000000 0.146315 0.170003 -0.011767 0.254246 0.674945 -0.654036 -0.228134
16750000000.000000 0.110153 0.141576 -0.015092 0.191741 0.685182 -0.671707 -0.206330
16900000000.000000 0.088201 0.115902 -0.011922 -0.141440 -0.683923 0.691951 0.182890
17050000000.000000 0.075165 0.098020 -0.010563 0.096040 0.697577 -0.693482 -0.152466
17300000000.000000 0.057603 0.070426 -0.009085 0.098875 0.722040 -0.674470 -0.118202
17850000000.000000 0.009890 -0.000915 -0.003224 -0.083967 -0.685543 0.720182 0.065707
18200000000.000000 -0.024151 -0.054718 -0.002213 -0.025042 -0.675644 0.736224 0.029209
18450000000.000000 -0.030478 -0.090143 -0.000376 0.027537 -0.691836 0.721012 -0.027329
18700000000.000000 -0.029940 -0.131826 -0.000439 0.077817 -0.698158 0.707794 -0.074483
19250000000.000000 -0.021463 -0.216862 0.012851 0.138368 -0.678746 0.714210 -0.100306
19400000000.000000 -0.011097 -0.234501 0.012998 0.193344 -0.671135 0.700584 -0.146209
19500000000.000000 0.014625 -0.236643 0.009291 0.238768 -0.668450 0.677328 -0.193368
19600000000.000000 0.043327 -0.243070 0.006151 -0.273855 0.659223 -0.654386 0.249415
19700000000.000000 0.070698 -0.247853 0.001908 -0.312320 0.645264 -0.635783 0.286131
19800000000.000000 0.092370 -0.258886 -0.002259 -0.338522 0.633336 -0.620055 0.315943
19950000000.000000 0.120581 -0.276507 -0.006466 -0.373208 0.611576 -0.600113 0.355745
20100000000.000000 0.146730 -0.287338 -0.003883 -0.415945 0.583659 -0.573678 0.396517
20250000000.000000 0.168061 -0.297463 0.001256 -0.449480 0.559868 -0.552382 0.423543
20750000000.000000 0.244629 -0.338371 0.012389 0.454537 -0.522906 0.553861 -0.461739
21050000000.000000 0.295152 -0.347043 0.020958 0.479897 -0.508868 0.521564 -0.488593
21650000000.000000 0.400758 -0.353081 0.037759 -0.497186 0.470062 -0.519561 0.511765
22100000000.000000 0.483969 -0.360642 0.047637 -0.516384 0.425248 -0.505130 0.545303
22300000000.000000 0.521477 -0.350168 0.053342 -0.539311 0.411468 -0.465057 0.568823
22450000000.000000 0.549131 -0.341048 0.052692 -0.555165 0.406635 -0.445347 0.572806
22950000000.000000 0.632286 -0.314871 0.065012 -0.578026 0.364188 -0.435175 0.586409
23200000000.000000 0.673090 -0.297790 0.063304 -0.602748 0.326898 -0.403671 0.605708
23350000000.000000 0.696242 -0.285439 0.066946 -0.639741 0.279196 -0.369501 0.613392
23450000000.000000 0.708630 -0.274763 0.070128 -0.666849 0.236783 -0.326863 0.626424
23550000000.000000 0.720512 -0.267095 0.071765 -0.693071 0.202663 -0.284381 0.630642
23650000000.000000 0.734580 -0.255067 0.069693 -0.705318 0.169753 -0.246679 0.642542
23800000000.000000 0.747337 -0.236962 0.067044 -0.726529 0.124922 -0.204866 0.643879
23950000000.000000 0.758088 -0.213597 0.061494 -0.739734 0.061149 -0.167454 0.648856
24100000000.000000 0.763406 -0.192469 0.057923 -0.747400 -0.001709 -0.136229 0.650255
24250000000.000000 0.758941 -0.177032 0.056971 -0.749380 -0.054717 -0.091993 0.653432
24400000000.000000 0.755285 -0.157442 0.053685 -0.751546 -0.093087 -0.068846 0.649441
24550000000.000000 0.760570 -0.127708 0.051565 -0.760886 -0.140965 -0.045531 0.631750
24700000000.000000 0.762873 -0.098241 0.047047 -0.751737 -0.187193 -0.020461 0.632006
24850000000.000000 0.756652 -0.070454 0.042576 -0.747496 -0.235002 0.030804 0.620543
25000000000.000000 0.746083 -0.050766 0.040339 -0.734608 -0.270735 0.091355 0.615392
25150000000.000000 0.731265 -0.028050 0.031455 -0.723579 -0.309126 0.146482 0.599514
25350000000.000000 0.708728 0.001362 0.029097 -0.682618 -0.368403 0.186397 0.602966
25750000000.000000 0.665139 0.038455 0.029815 -0.642190 -0.401565 0.239191 0.607557
26050000000.000000 0.608561 0.065508 0.018325 -0.624164 -0.429025 0.286923 0.586542
26150000000.000000 0.573168 0.069059 0.005024 -0.604195 -0.466989 0.334439 0.552287
26200000000.000000 0.553920 0.069139 -0.004346 -0.600008 -0.474422 0.363625 0.531687
26300000000.000000 0.534628 0.071731 -0.009218 0.580240 0.505196 -0.407354 -0.492099
26500000000.000000 0.503046 0.073778 -0.015565 0.554669 0.543708 -0.449952 -0.440758
27200000000.000000 0.394633 0.073529 -0.020608 0.533722 0.547750 -0.473218 -0.437237
27600000000.000000 0.326193 0.071079 -0.020968 0.515507 0.572598 -0.488749 -0.409279
28250000000.000000 0.221063 0.049611 -0.025288 0.550750 0.513997 -0.489224 -0.439479
28700000000.000000 0.157245 0.079729 -0.023260 -0.571150 -0.471554 0.422456 0.522451
29050000000.000000 0.117423 0.100129 -0.016391 -0.598610 -0.444573 0.373410 0.551893
29250000000.000000 0.098329 0.114873 -0.012341 -0.619754 -0.409857 0.342132 0.575211
29400000000.000000 0.084296 0.122198 -0.003073 -0.624278 -0.365664 0.301291 0.621120
29500000000.000000 0.075621 0.126418 0.004283 -0.643238 -0.325110 0.266174 0.640078
29600000000.000000 0.072898 0.131488 0.015483 -0.658829 -0.282933 0.240114 0.654399
29750000000.000000 0.071149 0.141752 0.016114 -0.668985 -0.219350 0.201499 0.680986
29900000000.000000 0.074083 0.151307 0.017402 -0.674590 -0.177021 0.147999 0.701205
29950000000.000000 0.077798 0.151640 0.025241 -0.681516 -0.165535 0.128780 0.701106
30100000000.000000 0.080075 0.165596 0.025959 -0.688052 -0.115885 0.094809 0.710047
30250000000.000000 0.080924 0.182405 0.026558 -0.696592 -0.075917 0.045506 0.711987
30350000000.000000 0.083167 0.191543 0.030746 -0.698205 -0.032896 0.018162 0.714911
30450000000.000000 0.090717 0.196513 0.033296 -0.694395 0.017054 -0.021717 0.719064
30550000000.000000 0.100124 0.206144 0.033028 -0.691161 0.066707 -0.052282 0.717714
30650000000.000000 0.108105 0.220485 0.030243 -0.686116 0.090394 -0.101108 0.714738
30750000000.000000 0.117314 0.230765 0.025793 -0.672015 0.128786 -0.131463 0.717306
30850000000.000000 0.126194 0.235545 0.023792 -0.649006 0.171948 -0.179882 0.718935
30950000000.000000 0.134215 0.244204 0.020782 -0.634725 0.228965 -0.192613 0.712460
31050000000.000000 0.143046 0.254874 0.031576 -0.628776 0.269350 -0.223471 0.694372
31200000000.000000 0.162486 0.255206 0.038530 -0.615967 0.307776 -0.256289 0.678362
31350000000.000000 0.181257 0.262347 0.039345 -0.602333 0.344386 -0.282664 0.662340
31500000000.000000 0.202807 0.264400 0.039681 -0.591998 0.363489 -0.320594 0.643920
31700000000.000000 0.241853 0.273135 0.039890 -0.581919 0.396476 -0.338790 0.624017
31850000000.000000 0.274365 0.282202 0.036909 -0.566751 0.425989 -0.353773 0.610058
32000000000.000000 0.305145 0.289638 0.030117 -0.559480 0.441396 -0.354443 0.605411
32250000000.000000 0.349153 0.303638 0.038982 -0.544187 0.466956 -0.380109 0.584234
32550000000.000000 0.394914 0.307042 0.042274 -0.506823 0.501350 -0.400832 0.575423
32800000000.000000 0.439252 0.299496 0.039377 -0.492673 0.526072 -0.413483 0.556375
33200000000.000000 0.498561 0.287876 0.043655 -0.489370 0.561188 -0.424591 0.515080
33350000000.000000 0.521652 0.282874 0.041656 -0.481638 0.569821 -0.436016 0.503209
33550000000.000000 0.550353 0.272203 0.043985 -0.451900 0.599611 -0.468509 0.465566
33750000000.000000 0.573072 0.257685 0.047873 -0.405534 0.622586 -0.496782 0.448481
34000000000.000000 0.602534 0.239721 0.045337 -0.366432 0.646847 -0.524507 0.414981
34200000000.000000 0.622224 0.220384 0.046996 -0.348260 0.657076 -0.554503 0.373486
34450000000.000000 0.645760 0.198722 0.051079 -0.301528 0.688923 -0.560294 0.347184
34750000000.000000 0.683408 0.173521 0.046641 -0.266765 0.707296 -0.577339 0.308623
34950000000.000000 0.713736 0.156008 0.046931 -0.220953 0.732689 -0.590206 0.256913
35100000000.000000 0.734495 0.138468 0.044651 -0.163895 0.735676 -0.620321 0.217073
35300000000.000000 0.716766 0.085081 0.050636 -0.106606 0.745869 -0.632126 0.180919
35500000000.000000 0.719489 0.053797 0.045004 -0.072318 0.749436 -0.643536 0.137759
35800000000.000000 0.725285 0.016939 0.046335 -0.034598 0.766353 -0.636244 0.081849
36150000000.000000 0.735203 -0.037981 0.039302 0.011144 0.768408 -0.639099 0.031278
36350000000.000000 0.738200 -0.069648 0.043389 0.057315 0.764697 -0.641821 -0.004420
36950000000.000000 0.729382 -0.174494 0.033697 0.061164 0.756575 -0.651027 0.004248
37600000000.000000 0.720411 -0.282361 0.027974 0.073802 0.769739 -0.632101 -0.050033
38249999999.000000 0.695295 -0.385411 0.018111 0.078116 0.763507 -0.638543 -0.056729
38799999999.000000 0.688311 -0.467611 0.008710 0.111097 0.761620 -0.629223 -0.108029
38899999999.000000 0.684928 -0.477714 0.010161 0.153859 0.749688 -0.628080 -0.140753
39199999999.000000 0.670384 -0.508280 0.005443 0.190572 0.740931 -0.618351 -0.179849
39399999999.000000 0.654331 -0.520772 0.005261 0.205625 0.741368 -0.594099 -0.234817
39549999999.000000 0.641900 -0.527878 0.006615 0.242238 0.722235 -0.586899 -0.274311
39649999999.000000 0.632570 -0.531401 0.003458 0.293397 0.705284 -0.567536 -0.307240
39749999999.000000 0.623687 -0.533609 -0.004022 0.347817 0.677441 -0.549623 -0.343528
39849999999.000000 0.613412 -0.536829 -0.008541 0.385320 0.651740 -0.537245 -0.371660
39949999999.000000 0.601570 -0.539459 -0.009497 0.409380 0.633240 -0.513893 -0.409059
40049999999.000000 0.588853 -0.547879 -0.008195 0.449567 0.616426 -0.474342 -0.439214
40149999999.000000 0.575419 -0.545527 -0.002293 0.490667 0.574039 -0.448020 -0.478542
40249999999.000000 0.561300 -0.537076 0.004162 -0.531288 -0.520406 0.422274 0.518262
40299999999.000000 0.552619 -0.531470 0.002850 -0.552237 -0.493795 0.406709 0.534593
40399999999.000000 0.543091 -0.524484 0.000580 -0.579813 -0.441752 0.370688 0.575554
40499999999.000000 0.539767 -0.518515 0.000081 -0.613887 -0.387713 0.344687 0.594989
40599999999.000000 0.537891 -0.510201 0.002931 -0.637948 -0.359348 0.307146 0.607908
40749999999.000000 0.531027 -0.496418 0.007287 -0.668852 -0.318754 0.255892 0.620929
40849999999.000000 0.529419 -0.485084 0.010221 -0.686082 -0.290858 0.222805 0.628531
40949999999.000000 0.524310 -0.474988 0.012960 -0.701044 -0.253053 0.189498 0.639212
41049999999.000000 0.517115 -0.469847 0.014248 -0.711232 -0.209485 0.145081 0.655146
41149999999.000000 0.514292 -0.448648 0.012198 -0.717777 -0.168775 0.119939 0.664775
41299999999.000000 0.510520 -0.429542 0.015737 -0.723598 -0.134872 0.081241 0.672024
41449999999.000000 0.507005 -0.401002 0.016016 -0.713508 -0.099392 0.038100 0.692514
41599999999.000000 0.505956 -0.378073 0.019203 -0.703566 -0.060513 0.003861 0.708038
41749999999.000000 0.508851 -0.347142 0.022064 -0.695810 -0.022997 -0.027283 0.717339
41999999999.000000 0.517772 -0.307890 0.023354 -0.700140 0.003823 -0.071992 0.710356
42499999999.000000 0.529651 -0.211998 0.024892 -0.740993 -0.029801 -0.042683 0.669492
43099999999.000000 0.549179 -0.107401 0.036594 -0.716080 -0.017506 -0.091236 0.691808
43649999999.000000 0.563747 -0.005034 0.033707 -0.736300 -0.032094 -0.071118 0.672142
44249999999.000000 0.570696 0.096786 0.047421 -0.717869 -0.021460 -0.086206 0.690487
44399999999.000000 0.580618 0.122079 0.039973 -0.730928 -0.026717 -0.082685 0.676901
44799999999.000000 0.577976 0.190278 0.031395 -0.745521 -0.076574 -0.038270 0.660961
45049999999.000000 0.568325 0.234370 0.019012 -0.758180 -0.113998 0.023423 0.641576
45399999999.000000 0.551268 0.286933 0.015322 -0.744506 -0.160449 0.056103 0.645616
45449999999.000000 0.548702 0.293500 0.014220 -0.739338 -0.172313 0.064615 0.647697
45699999999.000000 0.530019 0.329524 0.005743 -0.723841 -0.219925 0.118376 0.643175
45849999999.000000 0.514649 0.345043 0.007119 -0.703300 -0.285705 0.169120 0.628602
45949999999.000000 0.501283 0.357549 0.005893 -0.681424 -0.343649 0.212888 0.610119
45999999999.000000 0.493423 0.362032 0.005039 -0.669994 -0.368243 0.235500 0.600038
46099999999.000000 0.474605 0.368177 0.001859 -0.651310 -0.401439 0.275753 0.581896
46199999999.000000 0.454278 0.373907 -0.007158 -0.624921 -0.423377 0.320686 0.572177
46349999999.000000 0.419843 0.348270 -0.006675 -0.608204 -0.428896 0.334703 0.578023
46499999999.000000 0.384462 0.353763 0.003081 -0.589141 -0.467512 0.346711 0.560479
46549999999.000000 0.380096 0.349282 0.000197 -0.594369 -0.464856 0.341540 0.560343
46749999999.000000 0.340472 0.337630 -0.009865 -0.554123 -0.476459 0.434573 0.526384
46999999999.000000 0.297163 0.316166 -0.018361 0.522954 0.508126 -0.478151 -0.489591
47149999999.000000 0.275461 0.298813 -0.015294 0.493096 0.545003 -0.505382 -0.452125
47199999999.000000 0.270320 0.287621 -0.013689 0.489774 0.556380 -0.511079 -0.435156
47299999999.000000 0.259307 0.277819 -0.010870 0.475292 0.577542 -0.536258 -0.391114
47399999999.000000 0.243448 0.273509 -0.013131 0.447177 0.600200 -0.558825 -0.357082
47499999999.000000 0.228970 0.272062 -0.014849 0.417061 0.619049 -0.588786 -0.310113
47649999999.000000 0.209180 0.256843 -0.018994 0.372840 0.650031 -0.604450 -0.270352
47699999999.000000 0.202518 0.250295 -0.019325 0.357890 0.659916 -0.606718 -0.261379
47899999999.000000 0.175877 0.226990 -0.016630 0.316339 0.671417 -0.631465 -0.224456
48049999999.000000 0.160820 0.208799 -0.015791 0.262321 0.682243 -0.655509 -0.189844
48299999999.000000 0.137585 0.177840 -0.016847 0.220378 0.695526 -0.666682 -0.152355
48449999999.000000 0.122577 0.155221 -0.015096 0.185193 0.701376 -0.678033 -0.118516
48599999999.000000 0.113378 0.134947 -0.012102 0.142223 0.704550 -0.692778 -0.058656
48799999999.000000 0.104114 0.107566 -0.011212 0.106498 0.711929 -0.693988 -0.013958
49399999999.000000 0.081188 0.010605 -0.007686 -0.102690 -0.688102 0.718266 0.007987
50049999999.000000 0.051444 -0.088964 0.002082 0.080422 0.706779 -0.702761 -0.011063
50699999999.000000 0.025007 -0.190813 0.015286 -0.073164 -0.694517 0.713588 0.055556
51249999999.000000 -0.004707 -0.281314 0.026701 0.031731 0.712026 -0.701238 -0.016671
51899999999.000000 -0.026305 -0.380340 0.041674 0.024884 0.708656 -0.705051 -0.009534
52349999999.000000 -0.000770 -0.433027 0.031119 0.044973 -0.700133 0.712442 -0.014778
52499999999.000000 0.015533 -0.442829 0.015622 0.080054 -0.689090 0.717648 -0.061053
52699999999.000000 0.032725 -0.458194 0.012582 0.116892 -0.688641 0.706782 -0.112114
52949999999.000000 0.056369 -0.474709 0.014100 0.187361 -0.681046 0.691834 -0.149794
53149999999.000000 0.070768 -0.504125 0.025287 0.241407 -0.665992 0.676797 -0.200307
53299999999.000000 0.086755 -0.528914 0.028166 0.298234 -0.641869 0.653631 -0.268008
53399999999.000000 0.104875 -0.539399 0.024929 0.334455 -0.621679 0.636989 -0.309677
53499999999.000000 0.122305 -0.548378 0.017756 0.372778 -0.596031 0.617881 -0.352147
53599999999.000000 0.142051 -0.551966 0.012751 0.415348 -0.567401 0.591131 -0.395103
53699999999.000000 0.158977 -0.553634 0.010541 0.458004 -0.535182 0.555243 -0.442173
53799999999.000000 0.174359 -0.553888 0.008250 0.491797 -0.498739 0.520483 -0.488357
53899999999.000000 0.184463 -0.552545 0.011961 -0.519714 0.474242 -0.480806 0.523276
53999999999.000000 0.198473 -0.551582 0.011187 -0.543050 0.448451 -0.450779 0.548439
54149999999.000000 0.218990 -0.546486 0.009699 -0.572521 0.407613 -0.416372 0.576806
54349999999.000000 0.241215 -0.537399 0.011989 -0.608663 0.360612 -0.403393 0.580313
54599999999.000000 0.266546 -0.521562 0.018846 -0.630104 0.316202 -0.381976 0.597562
54849999999.000000 0.296744 -0.501390 0.020404 -0.648088 0.277266 -0.346169 0.619090
55049999999.000000 0.322766 -0.481928 0.023033 -0.660819 0.235984 -0.306787 0.643049
